,id,trialnb,blocknb,prepost,stim,response,rt,acc,correctResp
131,103,1,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/691tt.jpg,insect,3680.0,0,"['luipaard', ' leopard', ' puma', ' cheetah', ' tijger', ' jaguar', ' panter']"
132,103,2,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/559tt.jpg,motor,1390.0,0,"['pad', ' toad', ' frog', ' kikker']"
133,103,3,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,dier,2517.0,0,"['sinaasappel', ' pompelmoes', 'orange', ' appelsien', ' citroen', ' lemon']"
134,103,4,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/400tt.jpg,kniptang,2081.0,1,"['tang', ' pliers', ' nijp', ' nijptang', ' trektang', ' striptang', ' stripping', ' gereedschap']"
135,103,5,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/738tt.jpg,appel,1135.0,0,"['paprika', ' pepper', ' peper', ' paprika', ' red pepper', ' green pepper']"
136,103,6,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,stad,2551.0,0,"['motor', ' moto', ' motorfiets', ' brommer', ' bromfiets']"
137,103,7,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/429tt.jpg,slang,1366.0,1,"['slang', ' slangenkop', ' snake']"
138,103,8,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/148tt.jpg,vlieg,1795.0,0,"['kikker', ' pad', ' toad', ' frog']"
139,103,9,0,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/533tt.jpg,vlinder,2018.0,1,"['vlinder', ' butterfly']"
140,103,0,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/018tt.jpg,appel,3030.0,0,"['roos', 'roosje', ' bloem', 'blaadje']"
141,103,1,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,hond,2082.0,1,"['hond', ' dog']"
142,103,2,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,boekentas,1956.0,1,"['tas', ' boekentas', ' bag', ' aktetas', ' briefcase', ' schooltas', ' dokterstas']"
143,103,3,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/006tt.jpg,spin,3048.0,0,"['kwal', 'lichaam']"
144,103,4,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,weg,1289.0,0,"['olifant', ' slurf', ' elephant']"
145,103,5,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,man,1846.0,0,"['kat', ' poes', ' pussy', ' pussycat', ' cat']"
146,103,6,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/013tt.jpg,bos,2785.0,0,"['luipaard', ' jaguar', ' jachtluipaard', 'leopard', ' puma', ' cheetah', ' tijger', ' panter']"
147,103,7,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,bloemm,2164.0,0,"['paddestoel', ' kikker', ' pad', ' toad', ' frog', ' mushroom', ' schimmel']"
148,103,8,1,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/655tt.jpg,ezel,2167.0,1,"['ezel', ' donkey', ' donkeys', ' ezels', ' ezel', ' paard', ' paarden']"
