id,trialnb,blocknb,prepost,stim,response,rt
103,8,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/609tt.jpg,uil,1243
103,9,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/593tt.jpg,man,1767
103,0,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/030tt.jpg,fototoestel,2832
103,1,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/792tt.jpg,gras,1304
103,2,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/608tt.jpg,man,774
103,3,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/404tt.jpg,zak,1485
103,4,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/556tt.jpg,parking,3599
103,5,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/812tt.jpg,hoed,2774
103,6,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/005tt.jpg,?,1533
103,7,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/871tt.jpg,veld,1595
103,8,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/273tt.jpg,man,1806
103,9,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/003tt.jpg,krokodil,4617
103,0,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/608tt.jpg,veld,3287
103,1,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/556tt.jpg,horloge,4411
103,2,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/030tt.jpg,fototoestel,3649
103,3,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/812tt.jpg,man,1206
103,4,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/003tt.jpg,slang,1222
103,5,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/273tt.jpg,leguaan,2886
103,6,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/792tt.jpg,graan,3377
