id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
21373,Vrouw,12/1997,3,3,3,2,2,2,2,2,4,3,3,2,4,4,1,4,2,3,4,3,1,2,3,1,1,4,3,3,4,4,2,2,1,2,2,1,3,2,3,1,4,3,2,2,3,2,1,3,3,2
20821,Vrouw,04/97,2,3,1,1,3,4,2,1,4,1,1,2,3,2,1,2,1,1,4,3,4,4,3,2,3,4,2,1,1,1,2,4,2,1,1,2,4,1,2,1,4,3,4,1,1,3,1,3,2,1
20878,Vrouw,12/1997,3,2,1,1,2,4,4,4,3,1,3,2,2,3,1,3,2,4,4,3,3,3,4,1,2,1,2,3,1,3,2,2,1,3,4,3,3,4,4,1,4,1,2,3,2,2,3,3,4,2
21055,Vrouw,01/1997,2,1,1,2,1,2,4,2,4,4,3,2,3,2,2,3,3,3,4,2,3,2,3,2,3,3,2,3,2,3,2,1,3,2,4,3,3,2,3,2,4,3,2,2,2,2,2,3,2,2
20779,Vrouw,01/97,4,2,1,3,2,3,4,1,4,3,2,2,4,2,3,3,2,4,4,3,2,2,3,1,3,2,3,3,1,2,2,3,2,2,1,2,2,3,4,1,4,2,2,3,2,2,2,2,1,2
21616,Man,22/08/1997,2,4,1,4,2,2,4,1,4,2,1,1,4,2,2,4,1,4,4,4,4,4,2,4,1,3,3,4,2,2,2,2,4,1,3,2,2,1,4,1,4,4,4,1,4,4,1,2,2,1
20647,Vrouw,02/1997,1,1,1,2,3,3,4,1,2,2,1,2,4,3,2,2,1,2,3,3,4,4,4,2,4,4,2,3,2,3,2,3,3,1,3,1,2,1,3,2,3,3,1,1,3,4,1,3,4,3
20791,Vrouw,09/97,2,2,3,3,4,2,1,3,1,3,2,4,3,3,3,2,3,2,2,2,1,3,2,3,2,3,2,2,1,2,3,2,3,2,2,3,2,2,2,3,2,2,4,3,2,3,2,2,2,3
20398,Vrouw,05/97,2,2,4,3,1,4,4,4,4,2,2,1,3,2,2,3,2,2,4,2,3,2,4,2,2,3,3,3,2,3,3,2,2,2,2,2,3,2,3,2,4,2,2,2,2,2,2,3,3,2
20752,Vrouw,05/95,4,1,1,2,2,1,4,2,2,4,4,2,1,1,3,2,4,4,3,3,4,1,2,3,2,1,3,2,1,2,3,4,1,4,4,3,4,4,2,3,4,3,2,4,1,1,3,2,2,2
20257,Vrouw,06/1981,3,3,2,2,1,3,4,2,3,1,1,1,1,2,3,4,2,3,3,3,4,3,2,1,2,3,1,1,3,2,1,2,3,2,4,2,1,2,4,3,4,3,1,2,2,3,1,2,1,2
20746,Vrouw,05/1997,4,3,1,3,3,1,1,2,2,2,2,2,2,1,2,1,4,1,4,4,4,3,2,2,4,2,1,3,3,4,1,1,3,2,3,1,1,3,2,4,4,3,2,3,3,3,2,3,3,4
20935,Vrouw,01/1998,2,2,2,3,2,3,4,2,4,3,3,2,3,3,1,3,1,4,4,3,4,1,4,1,2,1,3,2,2,3,1,2,1,2,1,2,2,3,4,2,4,3,1,2,3,2,1,3,1,2
20458,Vrouw,07/1997,2,2,2,3,1,1,2,1,1,1,3,1,4,1,1,3,1,1,3,2,3,1,3,4,3,3,3,3,3,3,3,3,4,2,1,2,3,3,2,2,3,3,2,2,2,1,2,3,4,2
20548,Vrouw,05/97,2,3,2,1,4,4,4,1,4,4,2,4,4,3,1,4,1,2,4,3,4,1,4,1,3,2,3,2,1,2,3,4,3,1,3,3,2,2,3,1,4,2,3,1,3,2,2,3,2,2
619000,Vrouw,04/97,1,2,2,3,2,2,4,2,3,1,1,1,4,2,1,4,1,3,3,3,1,4,2,1,2,3,2,3,1,3,2,3,4,1,2,3,3,1,4,1,4,2,1,1,2,3,1,3,2,2
20839,Vrouw,11/97,2,1,1,1,4,4,3,2,4,2,3,3,3,4,3,3,2,3,4,3,2,2,4,2,3,2,2,2,2,3,1,2,3,3,3,2,3,3,2,4,4,3,2,3,2,1,2,3,3,4
